ID,answer
TEST_000,C
TEST_001,D
TEST_002,A
TEST_003,A
TEST_004,B
TEST_005,D
TEST_006,C
TEST_007,?
TEST_008,D
TEST_009,D
TEST_010,D
TEST_011,D
TEST_012,D
TEST_013,A
TEST_014,D
TEST_015,C
TEST_016,D
TEST_017,D
TEST_018,D
TEST_019,D
TEST_020,C
TEST_021,C
TEST_022,D
TEST_023,C
TEST_024,C
TEST_025,A
TEST_026,D
TEST_027,D
TEST_028,D
TEST_029,D
TEST_030,A
TEST_031,C
TEST_032,A
TEST_033,?
TEST_034,A
TEST_035,?
TEST_036,D
TEST_037,D
TEST_038,D
TEST_039,A
TEST_040,D
TEST_041,D
TEST_042,?
TEST_043,D
TEST_044,D
TEST_045,C
TEST_046,A
TEST_047,B
TEST_048,C
TEST_049,D
TEST_050,A
TEST_051,B
TEST_052,A
TEST_053,D
TEST_054,B
TEST_055,D
TEST_056,C
TEST_057,D
TEST_058,C
TEST_059,A
TEST_060,A
TEST_061,D
TEST_062,D
TEST_063,D
TEST_064,C
TEST_065,A
TEST_066,A
TEST_067,D
TEST_068,B
TEST_069,D
TEST_070,D
TEST_071,C
TEST_072,C
TEST_073,D
TEST_074,B
TEST_075,D
TEST_076,D
TEST_077,D
TEST_078,D
TEST_079,A
TEST_080,A
TEST_081,C
TEST_082,D
TEST_083,B
TEST_084,A
TEST_085,A
TEST_086,B
TEST_087,C
TEST_088,A
TEST_089,D
TEST_090,D
TEST_091,D
TEST_092,D
TEST_093,B
TEST_094,D
TEST_095,A
TEST_096,D
TEST_097,D
TEST_098,A
TEST_099,D
TEST_100,D
TEST_101,A
TEST_102,A
TEST_103,A
TEST_104,A
TEST_105,D
TEST_106,D
TEST_107,C
TEST_108,D
TEST_109,D
TEST_110,C
TEST_111,B
TEST_112,D
TEST_113,A
TEST_114,D
TEST_115,D
TEST_116,B
TEST_117,D
TEST_118,C
TEST_119,C
TEST_120,D
TEST_121,?
TEST_122,C
TEST_123,A
TEST_124,C
TEST_125,C
TEST_126,A
TEST_127,C
TEST_128,B
TEST_129,C
TEST_130,A
TEST_131,D
TEST_132,D
TEST_133,A
TEST_134,?
TEST_135,A
TEST_136,D
TEST_137,D
TEST_138,?
TEST_139,B
TEST_140,D
TEST_141,D
TEST_142,D
TEST_143,A
TEST_144,A
TEST_145,C
TEST_146,A
TEST_147,?
TEST_148,A
TEST_149,B
TEST_150,D
TEST_151,C
TEST_152,D
TEST_153,D
TEST_154,?
TEST_155,A
TEST_156,B
TEST_157,?
TEST_158,A
TEST_159,D
TEST_160,D
TEST_161,D
TEST_162,D
TEST_163,?
TEST_164,D
TEST_165,A
TEST_166,D
TEST_167,C
TEST_168,A
TEST_169,B
TEST_170,C
TEST_171,D
TEST_172,D
TEST_173,A
TEST_174,A
TEST_175,D
TEST_176,A
TEST_177,D
TEST_178,D
TEST_179,B
TEST_180,D
TEST_181,A
TEST_182,D
TEST_183,C
TEST_184,D
TEST_185,C
TEST_186,D
TEST_187,C
TEST_188,B
TEST_189,A
TEST_190,C
TEST_191,D
TEST_192,?
TEST_193,B
TEST_194,D
TEST_195,D
TEST_196,B
TEST_197,D
TEST_198,D
TEST_199,D
TEST_200,C
TEST_201,C
TEST_202,C
TEST_203,A
TEST_204,D
TEST_205,C
TEST_206,?
TEST_207,D
TEST_208,B
TEST_209,A
TEST_210,C
TEST_211,A
TEST_212,A
TEST_213,A
TEST_214,A
TEST_215,A
TEST_216,?
TEST_217,C
TEST_218,A
TEST_219,D
TEST_220,A
TEST_221,D
TEST_222,A
TEST_223,D
TEST_224,A
TEST_225,?
TEST_226,C
TEST_227,A
TEST_228,?
TEST_229,D
TEST_230,D
TEST_231,?
TEST_232,?
TEST_233,D
TEST_234,C
TEST_235,A
TEST_236,D
TEST_237,A
TEST_238,D
TEST_239,C
TEST_240,D
TEST_241,D
TEST_242,D
TEST_243,D
TEST_244,B
TEST_245,D
TEST_246,B
TEST_247,D
TEST_248,A
TEST_249,D
TEST_250,C
TEST_251,B
TEST_252,C
TEST_253,C
TEST_254,D
TEST_255,?
TEST_256,D
TEST_257,A
TEST_258,B
TEST_259,?
TEST_260,C
TEST_261,C
TEST_262,D
TEST_263,B
TEST_264,D
TEST_265,C
TEST_266,D
TEST_267,D
TEST_268,A
TEST_269,A
TEST_270,D
TEST_271,D
TEST_272,D
TEST_273,B
TEST_274,D
TEST_275,D
TEST_276,C
TEST_277,?
TEST_278,A
TEST_279,D
TEST_280,D
TEST_281,?
TEST_282,D
TEST_283,A
TEST_284,D
TEST_285,A
TEST_286,A
TEST_287,A
TEST_288,C
TEST_289,A
TEST_290,?
TEST_291,A
TEST_292,D
TEST_293,D
TEST_294,A
TEST_295,A
TEST_296,D
TEST_297,A
TEST_298,D
TEST_299,D
TEST_300,A
TEST_301,?
TEST_302,D
TEST_303,D
TEST_304,C
TEST_305,D
TEST_306,C
TEST_307,?
TEST_308,D
TEST_309,?
TEST_310,D
TEST_311,A
TEST_312,D
TEST_313,D
TEST_314,A
TEST_315,C
TEST_316,D
TEST_317,A
TEST_318,D
TEST_319,A
TEST_320,A
TEST_321,B
TEST_322,D
TEST_323,?
TEST_324,C
TEST_325,A
TEST_326,D
TEST_327,D
TEST_328,D
TEST_329,D
TEST_330,?
TEST_331,D
TEST_332,D
TEST_333,D
TEST_334,D
TEST_335,D
TEST_336,?
TEST_337,?
TEST_338,?
TEST_339,D
TEST_340,A
TEST_341,C
TEST_342,D
TEST_343,D
TEST_344,D
TEST_345,D
TEST_346,D
TEST_347,C
TEST_348,D
TEST_349,?
TEST_350,D
TEST_351,A
TEST_352,C
TEST_353,C
TEST_354,D
TEST_355,A
TEST_356,C
TEST_357,?
TEST_358,B
TEST_359,C
TEST_360,A
TEST_361,D
TEST_362,C
TEST_363,D
TEST_364,D
TEST_365,B
TEST_366,A
TEST_367,C
TEST_368,C
TEST_369,D
TEST_370,A
TEST_371,C
TEST_372,C
TEST_373,D
TEST_374,C
TEST_375,A
TEST_376,D
TEST_377,A
TEST_378,D
TEST_379,C
TEST_380,D
TEST_381,A
TEST_382,D
TEST_383,D
TEST_384,D
TEST_385,A
TEST_386,C
TEST_387,?
TEST_388,D
TEST_389,B
TEST_390,?
TEST_391,D
TEST_392,D
TEST_393,C
TEST_394,A
TEST_395,A
TEST_396,D
TEST_397,D
TEST_398,D
TEST_399,D
TEST_400,D
TEST_401,D
TEST_402,D
TEST_403,A
TEST_404,D
TEST_405,D
TEST_406,D
TEST_407,A
TEST_408,C
TEST_409,D
TEST_410,A
TEST_411,C
TEST_412,A
TEST_413,B
TEST_414,A
TEST_415,A
TEST_416,C
TEST_417,A
TEST_418,D
TEST_419,C
TEST_420,D
TEST_421,A
TEST_422,B
TEST_423,D
TEST_424,C
TEST_425,B
TEST_426,?
TEST_427,A
TEST_428,?
TEST_429,A
TEST_430,C
TEST_431,C
TEST_432,D
TEST_433,C
TEST_434,D
TEST_435,D
TEST_436,D
TEST_437,C
TEST_438,D
TEST_439,D
TEST_440,D
TEST_441,?
TEST_442,D
TEST_443,C
TEST_444,?
TEST_445,C
TEST_446,C
TEST_447,D
TEST_448,D
TEST_449,D
TEST_450,D
TEST_451,C
TEST_452,A
TEST_453,D
TEST_454,D
TEST_455,C
TEST_456,A
TEST_457,D
TEST_458,D
TEST_459,D
TEST_460,D
TEST_461,?
TEST_462,D
TEST_463,C
TEST_464,A
TEST_465,D
TEST_466,D
TEST_467,D
TEST_468,D
TEST_469,D
TEST_470,B
TEST_471,D
TEST_472,A
TEST_473,A
TEST_474,?
TEST_475,?
TEST_476,A
TEST_477,D
TEST_478,A
TEST_479,?
TEST_480,B
TEST_481,A
TEST_482,C
TEST_483,D
TEST_484,D
TEST_485,?
TEST_486,D
TEST_487,D
TEST_488,B
TEST_489,D
TEST_490,A
TEST_491,A
TEST_492,C
TEST_493,A
TEST_494,D
TEST_495,A
TEST_496,D
TEST_497,A
TEST_498,C
TEST_499,A
TEST_500,A
TEST_501,A
TEST_502,C
TEST_503,A
TEST_504,D
TEST_505,D
TEST_506,A
TEST_507,A
TEST_508,D
TEST_509,D
TEST_510,D
TEST_511,D
TEST_512,A
TEST_513,D
TEST_514,C
TEST_515,B
TEST_516,D
TEST_517,C
TEST_518,D
TEST_519,C
TEST_520,A
TEST_521,?
TEST_522,D
TEST_523,C
TEST_524,D
TEST_525,D
TEST_526,A
TEST_527,C
TEST_528,?
TEST_529,D
TEST_530,C
TEST_531,D
TEST_532,?
TEST_533,D
TEST_534,C
TEST_535,A
TEST_536,C
TEST_537,A
TEST_538,C
TEST_539,D
TEST_540,C
TEST_541,A
TEST_542,A
TEST_543,D
TEST_544,D
TEST_545,D
TEST_546,D
TEST_547,C
TEST_548,D
TEST_549,A
TEST_550,D
TEST_551,A
TEST_552,A
TEST_553,A
TEST_554,C
TEST_555,D
TEST_556,A
TEST_557,A
TEST_558,B
TEST_559,C
TEST_560,?
TEST_561,C
TEST_562,D
TEST_563,C
TEST_564,A
TEST_565,C
TEST_566,C
TEST_567,C
TEST_568,?
TEST_569,D
TEST_570,?
TEST_571,B
TEST_572,D
TEST_573,D
TEST_574,D
TEST_575,D
TEST_576,?
TEST_577,C
TEST_578,A
TEST_579,C
TEST_580,D
TEST_581,D
TEST_582,C
TEST_583,C
TEST_584,C
TEST_585,B
TEST_586,D
TEST_587,C
TEST_588,D
TEST_589,C
TEST_590,D
TEST_591,D
TEST_592,D
TEST_593,A
TEST_594,D
TEST_595,B
TEST_596,D
TEST_597,D
TEST_598,C
TEST_599,D
TEST_600,D
TEST_601,D
TEST_602,A
TEST_603,C
TEST_604,?
TEST_605,D
TEST_606,A
TEST_607,C
TEST_608,D
TEST_609,A
TEST_610,D
TEST_611,D
TEST_612,A
TEST_613,C
TEST_614,A
TEST_615,?
TEST_616,D
TEST_617,A
TEST_618,B
TEST_619,B
TEST_620,D
TEST_621,D
TEST_622,D
TEST_623,D
TEST_624,B
