ID,answer
TEST_000,B
TEST_001,A
TEST_002,B
TEST_003,C
TEST_004,B
TEST_005,D
TEST_006,B
TEST_007,D
TEST_008,D
TEST_009,C
TEST_010,B
TEST_011,B
TEST_012,B
TEST_013,C
TEST_014,C
TEST_015,D
TEST_016,B
TEST_017,C
TEST_018,D
TEST_019,C
TEST_020,A
TEST_021,C
TEST_022,A
TEST_023,D
TEST_024,B
TEST_025,A
TEST_026,B
TEST_027,C
TEST_028,A
TEST_029,C
TEST_030,A
TEST_031,C
TEST_032,C
TEST_033,A
TEST_034,A
TEST_035,D
TEST_036,D
TEST_037,C
TEST_038,B
TEST_039,A
TEST_040,C
TEST_041,B
TEST_042,D
TEST_043,C
TEST_044,C
TEST_045,A
TEST_046,D
TEST_047,D
TEST_048,B
TEST_049,C
TEST_050,B
TEST_051,D
TEST_052,C
TEST_053,B
TEST_054,D
TEST_055,C
TEST_056,C
TEST_057,B
TEST_058,D
TEST_059,C
TEST_060,A
TEST_061,D
TEST_062,B
TEST_063,C
TEST_064,B
TEST_065,B
TEST_066,D
TEST_067,A
TEST_068,C
TEST_069,D
TEST_070,C
TEST_071,D
TEST_072,C
TEST_073,C
TEST_074,B
TEST_075,C
TEST_076,A
TEST_077,A
TEST_078,C
TEST_079,C
TEST_080,D
TEST_081,D
TEST_082,B
TEST_083,D
TEST_084,A
TEST_085,D
TEST_086,B
TEST_087,D
TEST_088,B
TEST_089,D
TEST_090,A
TEST_091,D
TEST_092,C
TEST_093,B
TEST_094,C
TEST_095,C
TEST_096,A
TEST_097,C
TEST_098,B
TEST_099,D
TEST_100,C
TEST_101,D
TEST_102,B
TEST_103,B
TEST_104,B
TEST_105,C
TEST_106,B
TEST_107,D
TEST_108,A
TEST_109,C
TEST_110,C
TEST_111,B
TEST_112,C
TEST_113,D
TEST_114,D
TEST_115,C
TEST_116,C
TEST_117,A
TEST_118,A
TEST_119,C
TEST_120,A
TEST_121,A
TEST_122,C
TEST_123,B
TEST_124,B
TEST_125,A
TEST_126,D
TEST_127,B
TEST_128,C
TEST_129,D
TEST_130,B
TEST_131,D
TEST_132,A
TEST_133,C
TEST_134,A
TEST_135,D
TEST_136,B
TEST_137,C
TEST_138,D
TEST_139,A
TEST_140,B
TEST_141,D
TEST_142,D
TEST_143,C
TEST_144,D
TEST_145,B
TEST_146,B
TEST_147,C
TEST_148,C
TEST_149,A
TEST_150,C
TEST_151,B
TEST_152,B
TEST_153,D
TEST_154,C
TEST_155,D
TEST_156,D
TEST_157,D
TEST_158,C
TEST_159,B
TEST_160,D
TEST_161,A
TEST_162,C
TEST_163,B
TEST_164,B
TEST_165,A
TEST_166,B
TEST_167,A
TEST_168,D
TEST_169,D
TEST_170,A
TEST_171,B
TEST_172,B
TEST_173,A
TEST_174,A
TEST_175,A
TEST_176,B
TEST_177,C
TEST_178,B
TEST_179,A
TEST_180,A
TEST_181,D
TEST_182,C
TEST_183,A
TEST_184,D
TEST_185,D
TEST_186,A
TEST_187,A
TEST_188,C
TEST_189,B
TEST_190,D
TEST_191,B
TEST_192,C
TEST_193,D
TEST_194,B
TEST_195,D
TEST_196,B
TEST_197,A
TEST_198,D
TEST_199,A
TEST_200,C
TEST_201,D
TEST_202,C
TEST_203,B
TEST_204,A
TEST_205,B
TEST_206,B
TEST_207,B
TEST_208,C
TEST_209,D
TEST_210,B
TEST_211,C
TEST_212,B
TEST_213,B
TEST_214,B
TEST_215,C
TEST_216,A
TEST_217,C
TEST_218,C
TEST_219,A
TEST_220,A
TEST_221,A
TEST_222,D
TEST_223,D
TEST_224,D
TEST_225,B
TEST_226,B
TEST_227,D
TEST_228,B
TEST_229,C
TEST_230,D
TEST_231,B
TEST_232,B
TEST_233,A
TEST_234,D
TEST_235,C
TEST_236,C
TEST_237,B
TEST_238,B
TEST_239,A
TEST_240,D
TEST_241,C
TEST_242,A
TEST_243,D
TEST_244,D
TEST_245,C
TEST_246,D
TEST_247,A
