ID,answer
TEST_000,B
TEST_001,C
TEST_002,B
TEST_003,B
TEST_004,B
TEST_005,D
TEST_006,B
TEST_007,D
TEST_008,D
TEST_009,D
TEST_010,B
TEST_011,B
TEST_012,B
TEST_013,C
TEST_014,C
TEST_015,D
TEST_016,B
TEST_017,C
TEST_018,C
TEST_019,C
TEST_020,C
TEST_021,C
TEST_022,C
TEST_023,D
TEST_024,B
TEST_025,D
TEST_026,B
TEST_027,C
TEST_028,D
TEST_029,C
TEST_030,D
TEST_031,C
TEST_032,C
TEST_033,B
TEST_034,D
TEST_035,D
TEST_036,D
TEST_037,C
TEST_038,B
TEST_039,C
TEST_040,C
TEST_041,C
TEST_042,D
TEST_043,C
TEST_044,B
TEST_045,B
TEST_046,D
TEST_047,C
TEST_048,C
TEST_049,C
TEST_050,B
TEST_051,D
TEST_052,C
TEST_053,D
TEST_054,B
TEST_055,C
TEST_056,C
TEST_057,B
TEST_058,D
TEST_059,B
TEST_060,C
TEST_061,C
TEST_062,D
TEST_063,C
TEST_064,B
TEST_065,B
TEST_066,C
TEST_067,C
TEST_068,B
TEST_069,D
TEST_070,C
TEST_071,D
TEST_072,B
TEST_073,C
TEST_074,B
TEST_075,D
TEST_076,B
TEST_077,C
TEST_078,D
TEST_079,C
TEST_080,B
TEST_081,D
TEST_082,B
TEST_083,D
TEST_084,D
TEST_085,D
TEST_086,C
TEST_087,D
TEST_088,B
TEST_089,D
TEST_090,D
TEST_091,D
TEST_092,C
TEST_093,B
TEST_094,D
TEST_095,D
TEST_096,C
TEST_097,C
TEST_098,D
TEST_099,D
TEST_100,D
TEST_101,D
TEST_102,B
TEST_103,B
TEST_104,B
TEST_105,D
TEST_106,B
TEST_107,D
TEST_108,C
TEST_109,C
TEST_110,C
TEST_111,C
TEST_112,D
TEST_113,D
TEST_114,D
TEST_115,C
TEST_116,C
TEST_117,C
TEST_118,D
TEST_119,C
TEST_120,B
TEST_121,C
TEST_122,C
TEST_123,C
TEST_124,C
TEST_125,C
TEST_126,D
TEST_127,D
TEST_128,B
TEST_129,D
TEST_130,C
TEST_131,D
TEST_132,D
TEST_133,C
TEST_134,D
TEST_135,D
TEST_136,B
TEST_137,C
TEST_138,D
TEST_139,D
TEST_140,C
TEST_141,D
TEST_142,D
TEST_143,D
TEST_144,C
TEST_145,B
TEST_146,B
TEST_147,C
TEST_148,C
TEST_149,B
TEST_150,C
TEST_151,D
TEST_152,D
TEST_153,D
TEST_154,C
TEST_155,D
TEST_156,D
TEST_157,C
TEST_158,C
TEST_159,B
TEST_160,D
TEST_161,D
TEST_162,C
TEST_163,B
TEST_164,B
TEST_165,D
TEST_166,B
TEST_167,B
TEST_168,D
TEST_169,D
TEST_170,D
TEST_171,B
TEST_172,C
TEST_173,D
TEST_174,D
TEST_175,D
TEST_176,B
TEST_177,C
TEST_178,B
TEST_179,B
TEST_180,B
TEST_181,D
TEST_182,D
