ID,answer
TEST_000,B
TEST_001,C
TEST_002,A
TEST_003,A
TEST_004,C
TEST_005,C
TEST_006,C
TEST_007,D
TEST_008,C
TEST_009,D
TEST_010,B
TEST_011,A
TEST_012,B
TEST_013,C
TEST_014,C
TEST_015,B
TEST_016,B
TEST_017,C
TEST_018,C
TEST_019,C
TEST_020,A
TEST_021,C
TEST_022,B
TEST_023,D
TEST_024,B
TEST_025,A
TEST_026,B
TEST_027,C
TEST_028,A
TEST_029,B
TEST_030,C
TEST_031,B
TEST_032,C
TEST_033,A
TEST_034,D
TEST_035,A
TEST_036,C
TEST_037,D
TEST_038,D
TEST_039,A
TEST_040,A
TEST_041,D
TEST_042,B
TEST_043,C
TEST_044,D
TEST_045,A
TEST_046,A
TEST_047,D
TEST_048,B
TEST_049,D
TEST_050,B
TEST_051,B
TEST_052,C
TEST_053,D
TEST_054,A
TEST_055,D
TEST_056,C
TEST_057,A
TEST_058,B
TEST_059,C
TEST_060,A
TEST_061,A
TEST_062,A
TEST_063,D
TEST_064,A
TEST_065,B
TEST_066,B
TEST_067,A
TEST_068,C
TEST_069,D
TEST_070,D
TEST_071,C
TEST_072,B
TEST_073,C
TEST_074,B
TEST_075,C
TEST_076,C
TEST_077,A
TEST_078,C
TEST_079,C
TEST_080,D
TEST_081,D
TEST_082,D
TEST_083,D
TEST_084,A
TEST_085,D
TEST_086,A
TEST_087,A
TEST_088,B
TEST_089,D
TEST_090,A
TEST_091,D
TEST_092,B
TEST_093,B
TEST_094,B
TEST_095,A
TEST_096,B
TEST_097,A
TEST_098,A
TEST_099,D
TEST_100,B
TEST_101,D
TEST_102,C
TEST_103,B
TEST_104,D
TEST_105,C
TEST_106,A
TEST_107,D
TEST_108,B
TEST_109,C
TEST_110,A
TEST_111,B
TEST_112,A
TEST_113,B
TEST_114,D
TEST_115,D
TEST_116,A
TEST_117,A
TEST_118,A
TEST_119,A
TEST_120,B
TEST_121,D
TEST_122,C
TEST_123,C
TEST_124,C
TEST_125,A
TEST_126,D
TEST_127,D
TEST_128,B
TEST_129,C
TEST_130,A
TEST_131,A
TEST_132,D
TEST_133,C
TEST_134,B
TEST_135,A
TEST_136,B
TEST_137,D
TEST_138,B
TEST_139,A
TEST_140,B
TEST_141,D
TEST_142,C
TEST_143,A
TEST_144,D
TEST_145,C
TEST_146,C
TEST_147,C
TEST_148,C
TEST_149,A
TEST_150,D
TEST_151,D
TEST_152,C
TEST_153,D
TEST_154,A
TEST_155,D
TEST_156,D
TEST_157,A
TEST_158,C
TEST_159,B
TEST_160,D
TEST_161,C
TEST_162,C
TEST_163,A
TEST_164,D
TEST_165,A
TEST_166,B
TEST_167,B
TEST_168,D
TEST_169,D
TEST_170,A
TEST_171,B
TEST_172,A
TEST_173,A
TEST_174,B
TEST_175,B
TEST_176,A
TEST_177,C
TEST_178,B
TEST_179,B
TEST_180,B
TEST_181,D
TEST_182,A
